datetime,open,high,low,close,volume
2025-05-05 10:45:00,199.0243,199.0900,198.4000,198.9335,1814484
2025-05-05 10:30:00,198.7870,199.1700,198.2100,199.0000,3013182
2025-05-05 10:15:00,199.7000,200.0350,198.6200,198.7800,3690582
2025-05-05 10:00:00,199.7600,200.3400,199.2500,199.6850,3129266
2025-05-05 09:45:00,201.0750,201.2602,199.5000,199.7250,4034572
2025-05-05 09:30:00,203.1000,204.1000,200.5700,201.1150,4751459
2025-05-05 09:15:00,203.0400,203.2000,202.4900,203.1000,129762
2025-05-05 09:00:00,203.2300,203.4800,202.7700,203.0300,86652
2025-05-05 08:45:00,203.1793,203.3400,202.9500,203.2500,42517
2025-05-05 08:30:00,203.0600,203.3800,191.2196,203.1793,42178
2025-05-05 08:15:00,203.2100,203.2500,202.9900,203.0900,31864
2025-05-05 08:00:00,205.3500,205.3500,202.7700,203.2353,1117621
2025-05-05 07:45:00,202.8800,203.2400,202.8200,203.2000,16718
2025-05-05 07:30:00,203.0600,203.1700,202.7700,202.8600,45723
2025-05-05 07:15:00,203.3300,203.3800,203.0100,203.0300,16870
2025-05-05 07:00:00,203.2500,203.5000,203.1900,203.3300,32303
2025-05-05 06:45:00,203.1600,203.3900,203.1600,203.2500,13217
2025-05-05 06:30:00,203.4500,203.4700,203.0000,203.2000,31692
2025-05-05 06:15:00,203.6200,203.6200,203.4500,203.4500,7097
2025-05-05 06:00:00,203.7300,203.8000,203.5000,203.5600,18611
2025-05-05 05:45:00,203.7700,203.8000,203.6800,203.7400,15421
2025-05-05 05:30:00,203.7400,203.8000,203.6100,203.7700,8041
2025-05-05 05:15:00,203.5800,203.8000,203.5000,203.7900,8534
2025-05-05 05:00:00,203.4700,203.7000,203.4000,203.5100,9647
2025-05-05 04:45:00,203.6200,203.6800,203.3100,203.5500,14074
2025-05-05 04:30:00,203.6000,203.7200,203.3300,203.6100,21434
2025-05-05 04:15:00,204.1700,204.3000,203.5700,203.5900,17942
2025-05-05 04:00:00,205.2900,205.2900,203.7000,204.2000,29520
2025-05-02 19:45:00,205.1100,205.1500,205.0400,205.1099,25568
2025-05-02 19:30:00,205.1300,205.1300,205.0500,205.1000,14455
2025-05-02 19:15:00,205.0799,205.1400,205.0566,205.1300,10671
2025-05-02 19:00:00,205.1000,205.1800,205.0400,205.0500,16401
2025-05-02 18:45:00,205.2300,205.2500,205.0600,205.1500,10289
2025-05-02 18:30:00,205.2400,205.3500,205.1700,205.2400,10291
2025-05-02 18:15:00,205.1800,205.2600,205.1500,205.2400,8855
2025-05-02 18:00:00,205.2100,205.2900,205.1800,205.2300,7899
2025-05-02 17:45:00,205.2900,205.2900,205.1800,205.2100,15239
2025-05-02 17:30:00,205.1600,205.3500,205.1600,205.2898,1477905
2025-05-02 17:15:00,217.1643,217.1643,205.0100,205.1595,31969
2025-05-02 17:00:00,205.0600,205.3500,200.1805,205.0597,81968
2025-05-02 16:45:00,205.0900,213.9200,202.4032,205.0500,72020
2025-05-02 16:30:00,205.2900,205.3500,205.0200,205.0500,79877
2025-05-02 16:15:00,205.4700,205.5000,205.1100,205.2100,7435036
2025-05-02 16:00:00,205.4100,205.6000,205.0000,205.4694,17420783
2025-05-02 15:45:00,204.3350,205.5000,203.8900,205.3000,6551888
2025-05-02 15:30:00,204.7800,205.1600,204.2600,204.3350,3438967
2025-05-02 15:15:00,203.7000,204.9815,203.6600,204.7600,2219106
2025-05-02 15:00:00,204.1700,204.3505,203.6850,203.7049,2485105
2025-05-02 14:45:00,205.3350,205.4300,204.0900,204.1800,2092309
2025-05-02 14:30:00,204.8700,205.3600,204.6316,205.3350,1685299
2025-05-02 14:15:00,205.2545,205.2550,204.8100,204.8800,1449977
2025-05-02 14:00:00,205.3900,205.6100,205.1600,205.2600,1237983
2025-05-02 13:45:00,205.4500,205.8300,204.8500,205.4000,3121040
2025-05-02 13:30:00,204.7000,205.5300,204.7000,205.4415,1277970
2025-05-02 13:15:00,204.5150,204.9600,204.3500,204.6990,1384244
2025-05-02 13:00:00,204.9300,205.1500,204.1500,204.5200,1963190
2025-05-02 12:45:00,205.4900,205.8900,204.8700,204.9395,1778702
2025-05-02 12:30:00,205.0000,205.5500,204.8600,205.5197,2509218
2025-05-02 12:15:00,205.2800,205.5800,204.9500,205.0000,1923535
2025-05-02 12:00:00,205.4874,206.5800,204.9000,205.2900,3443652
2025-05-02 11:45:00,205.5700,205.6400,204.9800,205.4800,1696377
